label	F1	F2
i	340	2300
y	300	1540
e	440	2000
\yc	440	1360
\ep	620	1840
\ct	520	820
\ic	420	2000
u	340	740
a	820	1200
o	440	820
\as	760	1060
\o/	460	1540
i	280	2260
y	300	1800
e	460	1900
\yc	380	1540
\ep	500	1740
\ct	460	840
\ic	320	2100
u	360	900
a	640	1280
o	460	920
\as	720	1200
\o/	420	1520
i	400	2000
y	380	1700
e	440	1740
\yc	500	1520
\ep	580	1540
\ct	580	1020
\ic	460	1720
u	400	700
a	900	1440
o	460	860
\as	680	1000
\o/	460	1600
i	300	2260
y	320	1860
e	440	2180
\yc	380	1560
\ep	620	1720
\ct	600	860
\ic	440	2040
u	370	900
a	700	1200
o	500	840
\as	720	1080
\o/	440	1300
i	300	2040
y	320	1540
e	380	1860
\yc	460	1200
\ep	580	1500
\ct	480	820
\ic	400	1800
u	280	1040
a	820	1300
o	440	1220
\as	600	1040
\o/	420	1560
i	300	2160
y	250	1760
e	440	1940
\yc	400	1600
\ep	580	1820
\ct	460	860
\ic	400	2100
u	360	740
a	660	1260
o	500	900
\as	640	1000
\o/	460	1300
i	300	1900
y	320	1660
e	400	1780
\yc	380	1360
\ep	540	1600
\ct	540	860
\ic	400	1740
u	300	900
a	700	1240
o	480	960
\as	640	1120
\o/	460	1520
i	320	2120
y	320	1800
e	320	1920
\yc	480	1460
\ep	600	1600
\ct	500	950
\ic	460	1820
u	320	760
a	840	1180
o	500	920
\as	660	1060
\o/	440	1400
i	280	2240
y	300	1640
e	440	2040
\yc	400	1460
\ep	580	1700
\ct	500	840
\ic	360	2060
u	320	760
a	700	1420
o	500	940
\as	700	1060
\o/	440	1580
i	260	2200
y	200	1600
e	400	2200
\yc	380	1500
\ep	540	1750
\ct	520	820
\ic	400	1700
u	300	680
a	740	1200
o	420	860
\as	640	1120
\o/	360	1500
i	280	2160
y	260	1560
e	360	2020
\yc	440	1400
\ep	460	1660
\ct	500	840
\ic	360	1920
u	360	880
a	840	1200
o	580	1060
\as	580	1100
\o/	560	1600
i	300	2260
y	320	1760
e	500	2020
\yc	420	1520
\ep	700	1800
\ct	540	860
\ic	420	2080
u	420	800
a	800	1400
o	420	820
\as	600	1200
\o/	400	1560
i	320	2360
y	340	1680
e	400	2180
\yc	400	1440
\ep	700	1700
\ct	500	780
\ic	380	2120
u	300	760
a	740	1200
o	460	860
\as	620	900
\o/	400	1340
i	240	2000
y	240	1580
e	360	1640
\yc	400	1340
\ep	580	1400
\ct	500	800
\ic	440	1720
u	260	800
a	780	1300
o	480	900
\as	620	1000
\o/	420	1400
i	240	2040
y	260	1580
e	380	2000
\yc	420	1420
\ep	540	1640
\ct	480	840
\ic	280	1960
u	300	840
a	800	1220
o	500	920
\as	700	1020
\o/	400	1260
i	260	1960
y	300	1480
e	440	1880
\yc	320	1400
\ep	500	1560
\ct	540	780
\ic	360	1860
u	320	860
a	660	1400
o	520	940
\as	700	1040
\o/	400	1600
i	320	2340
y	300	1860
e	420	2200
\yc	460	2320
\ep	500	2100
\ct	600	920
\ic	420	2200
u	360	800
a	700	1220
o	540	940
\as	620	1080
\o/	500	1400
i	320	2240
y	320	1800
e	420	2040
\yc	460	1440
\ep	600	1600
\ct	560	700
\ic	440	1920
u	300	760
a	800	1260
o	460	840
\as	540	900
\o/	420	1380
i	220	2080
y	220	1760
e	440	2060
\yc	440	1440
\ep	580	1400
\ct	520	900
\ic	420	1720
u	320	1000
a	700	1280
o	460	1060
\as	620	1100
\o/	340	1440
i	280	2140
y	280	1820
e	340	2100
\yc	380	1460
\ep	500	1640
\ct	500	960
\ic	420	1960
u	340	780
a	660	1220
o	420	760
\as	560	1000
\o/	400	1320
i	300	1860
y	280	1600
e	340	1740
\yc	400	1360
\ep	520	1580
\ct	380	800
\ic	360	1740
